Date,BTC_Open_BTC,BTC_High_BTC,BTC_Low_BTC,BTC_Close_BTC,BTC_Volume_BTC
1/1/2024,42280.23438,44175.4375,42214.97656,44167.33203,18426978443
1/2/2024,44187.14063,45899.70703,44176.94922,44957.96875,39335274536
1/3/2024,44961.60156,45503.24219,40813.53516,42848.17578,46342323118
1/4/2024,42855.81641,44770.02344,42675.17578,44179.92188,30448091210
1/5/2024,44192.98047,44353.28516,42784.71875,44162.69141,32336029347
1/6/2024,44178.95313,44227.63281,43475.15625,43989.19531,16092503468
1/7/2024,43998.46484,44495.57031,43662.23047,43943.09766,19330573863
1/8/2024,43948.70703,47218,43244.08203,46970.50391,42746192015
1/9/2024,46987.64063,47893.69922,45244.71484,46139.73047,39821290992
1/10/2024,46121.53906,47647.22266,44483.15234,46627.77734,50114613298
1/11/2024,46656.07422,48969.37109,45678.64453,46368.58594,45833734549
1/12/2024,46354.79297,46498.13672,41903.76953,42853.16797,43332698900
1/13/2024,42799.44531,43234.66016,42464.14453,42842.38281,20601860469
1/14/2024,42842.26172,43065.59766,41724.61328,41796.26953,17521429522
1/15/2024,41715.06641,43319.72266,41705.41797,42511.96875,22320220558
1/16/2024,42499.33594,43566.27344,42085.99609,43154.94531,24062872740
1/17/2024,43132.10156,43189.89063,42189.30859,42742.65234,20851232595
1/18/2024,42742.3125,42876.34766,40631.17188,41262.05859,25218357242
1/19/2024,41278.46094,42134.16016,40297.45703,41618.40625,25752407154
1/20/2024,41624.58984,41877.89453,41446.82422,41665.58594,11586690904
1/21/2024,41671.48828,41855.36719,41497.00781,41545.78516,9344043642
1/22/2024,41553.65234,41651.20703,39450.11719,39507.36719,31338708143
1/23/2024,39518.71484,40127.35156,38521.89453,39845.55078,29244553045
1/24/2024,39877.59375,40483.78516,39508.79688,40077.07422,22359526178
1/25/2024,40075.55078,40254.48047,39545.66406,39933.80859,18491782013
1/26/2024,39936.81641,42209.38672,39825.69141,41816.87109,25598119893
